Date,Days_To_Expiry,Stock_Price,Option_Value,PnL_$,PnL_%,Probability,EV_%
2024-07-31,534,200.0,21.888269590723358,-9.961730409276644,-31.277018553458852,1.0,-31.277018553458852
2024-10-29,444,200.0,16.32281445148659,-15.527185548513412,-48.750975034579,0.7297457573823332,-35.575817199736065
2025-07-31,169,200.0,1.8763814319816956,-29.973618568018306,-94.10869252125057,0.7362525415364889,-69.28776404944671
2026-01-16,0,200.0,0.0,-31.85,-100.0,0.7545813899815208,-75.45813899815208
2024-07-31,534,231.57894736842104,32.03157688131368,0.18157688131368133,0.570100098316111,0.0,0.0
2024-10-29,444,231.57894736842104,24.917509935866292,-6.9324900641337095,-21.766059855992808,0.5831538169122434,-12.692960884162561
2025-07-31,169,231.57894736842104,4.15150096370092,-27.698499036299083,-86.9654600825717,0.6671941390699991,-58.0228452686178
2026-01-16,0,231.57894736842104,0.0,-31.85,-100.0,0.6998299312546885,-69.98299312546885
2024-07-31,534,263.1578947368421,43.970370245157426,12.120370245157424,38.05453766140479,0.0,0.0
2024-10-29,444,263.1578947368421,35.36338336703667,3.513383367036667,11.03103097970696,0.44408172250768807,4.898679238503937
2025-07-31,169,263.1578947368421,7.8535843469368505,-23.996415653063153,-75.34196437382465,0.6018292843243318,-45.34300049868819
2026-01-16,0,263.1578947368421,0.0,-31.85,-100.0,0.6480195052193283,-64.80195052193282
2024-07-31,534,294.7368421052631,57.56281973119623,25.712819731196227,80.73098816702111,0.0,0.0
2024-10-29,444,294.7368421052631,47.556847811857246,15.706847811857244,49.31506377349213,0.3258345512118862,16.068551672621354
2025-07-31,169,294.7368421052631,13.26028044236124,-18.58971955763876,-58.36646642900709,0.5413140879256095,-31.594590540458682
2026-01-16,0,294.7368421052631,0.0,-31.85,-100.0,0.5996255375031531,-59.96255375031531
2024-07-31,534,326.3157894736842,72.66594706704112,40.815947067041115,128.1505402418873,0.0,0.0
2024-10-29,444,326.3157894736842,61.376391706125254,29.526391706125253,92.7045265498438,0.23251337353784862,21.555042210333237
2025-07-31,169,326.3157894736842,20.557520712008035,-11.292479287991966,-35.455193996835064,0.48609135384867214,-17.23446325088887
2026-01-16,0,326.3157894736842,0.0,-31.85,-100.0,0.5547916657866809,-55.47916657866809
2024-07-31,534,357.89473684210526,89.14257701340958,57.29257701340958,179.88250239689035,0.0,0.0
2024-10-29,444,357.89473684210526,76.69469102803852,44.84469102803852,140.79965785883363,0.16257286998110543,22.890204470468287
2025-07-31,169,357.89473684210526,29.840979124941448,-2.009020875058553,-6.307757849477404,0.43617580336564493,-2.7512913474317595
2026-01-16,0,357.89473684210526,0.0,-31.85,-100.0,0.513469873032269,-51.346987303226896
2024-07-31,534,389.4736842105263,106.86470699491743,75.01470699491742,235.5249827155963,0.0,0.0
2024-10-29,444,389.4736842105263,93.38582872344278,61.53582872344278,193.2051137313745,0.11202173762246076,21.643172557733724
2025-07-31,169,389.4736842105263,41.12850948619199,9.278509486191986,29.131897915830407,0.39133965789410785,11.400466964187146
2026-01-16,0,389.4736842105263,0.0,-31.85,-100.0,0.4755060014979917,-47.55060014979917
2024-07-31,534,421.0526315789474,125.71485352470125,93.86485352470126,294.7091162470997,0.0,0.0
2024-10-29,444,421.0526315789474,111.32939890559642,79.47939890559641,249.5428537067391,0.07640670064678858,19.066746121716168
2025-07-31,169,421.0526315789474,54.376933305825766,22.526933305825764,70.72820504183913,0.3512294503506045,24.841828581130013
2026-01-16,0,421.0526315789474,0.0,-31.85,-100.0,0.4406916691974294,-44.06916691974294
2024-07-31,534,452.63157894736844,145.58627511842383,113.73627511842383,357.09976489301044,0.0,0.0
2024-10-29,444,452.63157894736844,130.4126574443894,98.5626574443894,309.45889307500596,0.051761223663331316,16.017970979062312
2025-07-31,169,452.63157894736844,69.49903709792244,37.64903709792244,118.20733782707202,0.31543761302018714,37.28704048564247
2026-01-16,0,452.63157894736844,0.0,-31.85,-100.0,0.4087955422957796,-40.879554229577955
2024-07-31,534,484.2105263157895,166.3825924154884,134.5325924154884,422.394324695411,0.0,0.0
2024-10-29,444,484.2105263157895,150.53146543064324,118.68146543064324,372.62626508836183,0.03491772250402324,13.01126052206602
2025-07-31,169,484.2105263157895,86.37862942308968,54.528629423089676,171.20448798458295,0.2835450818883858,48.54419056524773
2026-01-16,0,484.2105263157895,0.0,-31.85,-100.0,0.37958189409662724,-37.95818940966272
2024-07-31,534,515.7894736842105,188.01710682357196,156.16710682357197,490.3205865732244,0.0,0.0
2024-10-29,444,515.7894736842105,171.59050131417243,139.74050131417243,438.74568701467007,0.023502703836285957,10.311709941353604
2025-07-31,169,515.7894736842105,104.88282117773639,73.0328211777364,229.30242128017704,0.2551456318065346,58.505511152298936
2026-01-16,0,515.7894736842105,0.0,-31.85,-100.0,0.35282131796355687,-35.282131796355685
2024-07-31,534,547.3684210526316,210.41199099516527,178.56199099516527,560.6341946473007,0.0,0.0
2024-10-29,444,547.3684210526316,193.5030433852067,161.6530433852067,507.5448771906019,0.015808219531947262,8.023380840944247
2025-07-31,169,547.3684210526316,124.87144767244058,93.02144767244059,292.0610601960458,0.22985885688072116,67.13282143603458
2026-01-16,0,547.3684210526316,27.36842105263156,-4.48157894736844,-14.070891514500596,0.3282965984342534,-4.619425821147946
2024-07-31,534,578.9473684210526,233.49744926959147,201.64744926959148,633.1160102655933,0.0,0.0
2024-10-29,444,578.9473684210526,216.19051281143777,184.34051281143778,578.7771202870888,0.010637788279989709,6.156908466916187
